level,split,attack_class,support,f1,recall
no_dup,ovs2meta,DoS,1145,0.03202198076682902,0.5598253275109171
no_dup,ovs2meta,Normal,34212,0.9675539588696218,0.9997661639190927
no_dup,ovs2meta,Probe,61757,0.2731254184333854,0.1585407322246871
no_dup,meta2ovs,BFA,1110,0.0034873583260680036,0.0018018018018018018
no_dup,meta2ovs,DDoS,48413,0.6003265943149467,0.4290376551752628
no_dup,meta2ovs,DoS,52471,0.0002994609702535436,0.00022869775685616816
no_dup,meta2ovs,Normal,34212,0.5763323082108102,0.9996784753887524
no_dup,meta2ovs,Probe,36372,0.6707203116568616,0.700566369734961
no_expensive,random,BFA,281,0.9034749034749034,0.8327402135231317
no_expensive,random,BOTNET,33,0.9705882352941176,1.0
no_expensive,random,DDoS,24389,0.9999794985341451,0.9999589979088933
no_expensive,random,DoS,10723,0.9991609173969793,0.9994404550965215
no_expensive,random,Normal,13685,0.9996711367705631,0.9995615637559372
no_expensive,random,Probe,19626,0.998447402580875,0.9993885661877102
no_expensive,random,U2R,3,0.5714285714285714,0.6666666666666666
no_expensive,random,Web-Attack,38,0.9743589743589743,1.0
no_expensive,ovs2meta,BFA,295,0.025201841092582812,0.5661016949152542
no_expensive,ovs2meta,DDoS,73529,0.9965199115648116,0.9930639611581825
no_expensive,ovs2meta,DoS,1145,0.030241545893719808,0.5467248908296943
no_expensive,ovs2meta,Normal,34212,0.9927003062098191,0.9997077048988658
no_expensive,ovs2meta,Probe,61757,0.2723219262066659,0.15823307479314086
no_expensive,meta2ovs,BFA,1110,0.0011028398125172319,0.0036036036036036037
no_expensive,meta2ovs,DDoS,48413,0.9998244508927189,0.9999586887819387
no_expensive,meta2ovs,DoS,52471,0.013359573099193884,0.006727525680852281
no_expensive,meta2ovs,Normal,34212,0.6207597509846271,0.9997077048988658
no_expensive,meta2ovs,Probe,36372,0.679620112018251,0.7289398438359177
shap_top15,random,BFA,281,0.8688845401174168,0.7900355871886121
shap_top15,random,BOTNET,33,0.9552238805970149,0.9696969696969697
shap_top15,random,DDoS,24389,0.9999589979088933,0.9999589979088933
shap_top15,random,DoS,10723,0.9988349876508691,0.9994404550965215
shap_top15,random,Normal,13685,0.9996710886964149,0.9994154183412496
shap_top15,random,Probe,19626,0.9978114820846905,0.9989299908284928
shap_top15,random,U2R,3,1.0,1.0
shap_top15,random,Web-Attack,38,1.0,1.0
shap_top15,ovs2meta,BFA,295,0.02652805162215451,0.5016949152542373
shap_top15,ovs2meta,DDoS,73529,0.9963419960690107,0.9927511594064927
shap_top15,ovs2meta,DoS,1145,0.02756119673617407,0.5310043668122271
shap_top15,ovs2meta,Normal,34212,0.9911889165845458,0.9995907868584123
shap_top15,ovs2meta,Probe,61757,0.25809810598598487,0.14850138445844197
shap_top15,meta2ovs,BFA,1110,0.0012437810945273632,0.0018018018018018018
shap_top15,meta2ovs,DDoS,48413,0.9998141263940521,0.9999586887819387
shap_top15,meta2ovs,DoS,52471,0.14561254768969903,0.07855767948009376
shap_top15,meta2ovs,Normal,34212,0.6060477190371139,0.9997077048988658
shap_top15,meta2ovs,Probe,36372,0.6191364147325266,0.6435719784449576
