level,split,model,n_features,n_classes,f1,accuracy,precision,recall,latency_ms_per_1k
no_const,meta2ovs,XGBoost,67,5,0.452465694211471,0.6305612534622026,0.48572896939897586,0.5439718861202801,1.0126899136032297
no_port,random,DecisionTree,65,8,0.8318077573034681,0.9967140655442147,0.8584981160378686,0.8213168284308756,0.1848083670674661
no_port,random,RandomForest,65,8,0.919393078945424,0.9985896652999505,0.9263214389130261,0.9163991915874707,1.586260026225324
no_port,random,XGBoost,65,8,0.968380103645896,0.998982232690686,0.9661791081776158,0.976500852761812,1.990391795964549
no_port,ovs2meta,DecisionTree,65,5,0.3823101369123814,0.6702313119376616,0.49418191136295936,0.5396622715081174,0.16649116091219665
no_port,ovs2meta,RandomForest,65,5,0.4719204286514943,0.7108717780715815,0.584672344228735,0.5877579300138107,0.7818183091184304
no_port,ovs2meta,XGBoost,65,5,0.46314642321700433,0.6891855526565187,0.5997383153649466,0.6395306174069542,1.2922187636895297
no_port,meta2ovs,DecisionTree,65,5,0.41939886793628534,0.5765450984482379,0.617843042236873,0.49941414378261795,0.1819150820541997
no_port,meta2ovs,RandomForest,65,5,0.48993493629666907,0.6622454774073173,0.7328730612477272,0.5813803819007222,0.7567785755068374
no_port,meta2ovs,XGBoost,65,5,0.45353911579476724,0.6263486655309484,0.5682298568076334,0.5405571001697413,1.3745683115466343
no_dup,random,DecisionTree,57,8,0.873195306810665,0.9962051818895578,0.8912333901670969,0.9038735557210165,0.15670103538096664
no_dup,random,RandomForest,57,8,0.9213931142354688,0.998618744365931,0.9242771937900827,0.9229846708799926,1.4424592025482477
no_dup,random,XGBoost,57,8,0.9399124912052071,0.998909535025735,0.944857608732556,0.9367708720295661,2.033328843168454
no_dup,ovs2meta,DecisionTree,57,5,0.46766771685199177,0.7526062080988428,0.5250702477193989,0.6028579381226769,0.1388795466244937
no_dup,ovs2meta,RandomForest,57,5,0.47029795077820563,0.7115854871356866,0.5823799298714124,0.5875186349131363,0.6997317734124492
no_dup,ovs2meta,XGBoost,57,5,0.458765887049806,0.6891855526565187,0.5903114585816287,0.6500195270406748,1.3242130718050342
no_dup,meta2ovs,DecisionTree,57,5,0.20246162221196845,0.2917463407850363,0.3880443514336175,0.29364098524785587,0.14370700247759066
no_dup,meta2ovs,RandomForest,57,5,0.4714613072664987,0.6461715861813209,0.6908872165900881,0.5617641378194645,0.7871201719158488
no_dup,meta2ovs,XGBoost,57,5,0.370233206695788,0.46626452966195,0.42039087379704065,0.4262625999715269,1.3948480335677138
no_expensive,random,DecisionTree,49,8,0.9074964924116382,0.9961179446916165,0.9084676421131186,0.9128449645108914,0.1274777835014498
no_expensive,random,RandomForest,49,8,0.9231158572418006,0.9986042048329408,0.9269473729660922,0.9234087194637367,1.2259740331139648
no_expensive,random,XGBoost,49,8,0.9271387049798911,0.9989386140917154,0.9220461493514636,0.9372195578923576,1.987210664103138
no_expensive,ovs2meta,DecisionTree,49,5,0.45551826201795703,0.7117902397360446,0.5503212198893452,0.6860443035104912,0.12224339818319918
no_expensive,ovs2meta,RandomForest,49,5,0.4719313499979675,0.7105149235395289,0.5821877485099016,0.5983675534347949,0.7252597905769796
no_expensive,ovs2meta,XGBoost,49,5,0.4633971061935198,0.689056851022008,0.5980710750811641,0.6527662653190275,1.375476050512655
no_expensive,meta2ovs,DecisionTree,49,5,0.1996153560606082,0.2997079581406668,0.5513886175930303,0.2988960604821947,0.12582619375913728
no_expensive,meta2ovs,RandomForest,49,5,0.46750899089950393,0.6423993788316008,0.6911543265183919,0.5584951525709801,0.7716573599837475
no_expensive,meta2ovs,XGBoost,49,5,0.4629333453614616,0.6343972001066185,0.6056717787128445,0.5477874733602357,1.4206730638359342
shap_top15,random,DecisionTree,15,8,0.8192419164032736,0.9964668934833814,0.8600531731114383,0.8295890692302804,0.09578885517334348
shap_top15,random,RandomForest,15,8,0.9482402363139477,0.9985024281020094,0.9433860903312201,0.961311706522735,1.2937803537987251
shap_top15,random,XGBoost,15,8,0.9775481221319124,0.9986042048329408,0.9876506847992532,0.9696846773825923,2.0137125990838323
shap_top15,ovs2meta,DecisionTree,15,5,0.547096790099473,0.8611777369572594,0.5593209466221845,0.6048481916274355,0.0647096192013396
shap_top15,ovs2meta,RandomForest,15,5,0.48163701974600964,0.7104798230937532,0.6007445398789178,0.6329495617739898,0.6299686608309639
shap_top15,ovs2meta,XGBoost,15,5,0.4599436533995739,0.6851665516152056,0.5991667278135886,0.6347085225579623,1.3865236764512578
shap_top15,meta2ovs,DecisionTree,15,5,0.27098878825806005,0.4097799255988597,0.5843779327804903,0.39739754306939307,0.06936187687797385
shap_top15,meta2ovs,RandomForest,15,5,0.45792269098779786,0.6388763341793277,0.5780893224348652,0.5520258731262576,0.7160747607617072
shap_top15,meta2ovs,XGBoost,15,5,0.47437091778958373,0.6382331467510343,0.605276716676201,0.5447195706815315,1.3810255364419206
